Rank,Team,Games,Wins,Draws,Defeats,GF,GA,Diff,Points
1,PARIS SAINT-GERMAIN,76,44,18,14,112,63,49,150
2,FC NANTES,76,38,27,11,118,66,52,141
3,OLYMPIQUE LYONNAIS,76,36,20,20,94,78,16,128
4,AJ AUXERRE,76,33,27,16,113,63,50,126
5,FC GIRONDINS DE BORDEAUX,76,35,17,24,106,84,22,122
6,A.S. CANNES,76,31,20,25,106,91,15,113
7,AS MONACO,76,29,25,22,112,75,37,112
8,RC LENS,76,28,27,21,97,84,13,111
9,FC METZ,76,28,21,27,86,79,7,105
10,MONTPELLIER HÉRAULT SC,76,24,27,25,79,90,-11,99
11,RC STRASBOURG ALSACE,76,23,26,27,86,90,-4,95
12,LOSC LILLE,76,21,25,30,70,96,-26,88
13,AS SAINT-ÉTIENNE,76,21,24,31,83,91,-8,87
14,HAVRE AC,76,19,28,29,75,97,-22,85
15,F.C. MARTIGUES,76,18,29,29,74,107,-33,83
16,STADE MALHERBE CAEN,76,22,13,41,67,112,-45,79
17,FC SOCHAUX-MONTBÉLIARD,76,16,18,42,68,116,-48,66
18,OLYMPIQUE DE MARSEILLE,38,19,13,6,56,33,23,51
19,STADE RENNAIS FC,38,12,12,14,53,55,-2,48
20,S.C. BASTIAIS,38,11,11,16,44,56,-12,44
21,OGC NICE,38,11,10,17,39,52,-13,43
22,TOULOUSE FC,38,4,15,19,26,60,-34,23
23,ANGERS SCO,38,4,13,21,37,63,-26,21
24,EN AVANT GUINGAMP,0,0,0,0,0,0,0,0
25,F.C. GUEUGNON,0,0,0,0,0,0,0,0
26,AS NANCY LORRAINE,0,0,0,0,0,0,0,0
27,CHÂTEAUROUX,0,0,0,0,0,0,0,0
28,FC LORIENT,0,0,0,0,0,0,0,0
29,ESTAC TROYES,0,0,0,0,0,0,0,0
30,C.S. SEDAN ARDENNES,0,0,0,0,0,0,0,0
31,AC AJACCIO,0,0,0,0,0,0,0,0
32,LE MANS FC,0,0,0,0,0,0,0,0
33,F.C. ISTRES OUEST PROVENCE,0,0,0,0,0,0,0,0
34,VALENCIENNES FC,0,0,0,0,0,0,0,0
35,GRENOBLE FOOT 38,0,0,0,0,0,0,0,0
36,U.S. BOULOGNE COTE D'OPALE,0,0,0,0,0,0,0,0
37,STADE BRESTOIS 29,0,0,0,0,0,0,0,0
38,A.C. ARLES - AVIGNON,0,0,0,0,0,0,0,0
39,DIJON FCO,0,0,0,0,0,0,0,0
40,EVIAN THONON GAILLARD F. C.,0,0,0,0,0,0,0,0
41,STADE DE REIMS,0,0,0,0,0,0,0,0
42,GAZELEC FC AJACCIO,0,0,0,0,0,0,0,0
43,AMIENS SC,0,0,0,0,0,0,0,0
44,NÎMES OLYMPIQUE,0,0,0,0,0,0,0,0
45,CLERMONT FOOT 63,0,0,0,0,0,0,0,0
